"                                                                                                                                                                                     GREEN CUP INDEX
",,,,,,,,,,,,,,,,,,,,,,
                                                                                                                                                                                  Qanititative Scoring,,,,,,,,,,,,,,,,,,,,,,
HOSTEL,Mess dry waste(kg),Mess wet waste(kg),Hostel dry waste(kg),Hostel wet waste(kg),Hostel E waste(kg),Electricity Consumption(unit),Mess dry waste(kg/capita),Mess wet waste(kg/capita),Hostel dry waste(kg/capita),Hostel wet waste(kg/capita),Hostel E waste(kg/capita),Electricity Consumption(unit/capita),Hostel Waste Segregation System (bins placement),Hostel Waste Segregation system(effective segregation),No of residents,Index for mess dry waste,Index for Mess Wet waste,Index for Hostel dry waste,Index for Hostel wet waste,Index for hostel E waste,Index for electricity,Total monthly index
H-01,500.00,2015.00,403.00,1793.35,1020.6,"242,336",1.03,4.15,0.83,3.69,2.10,498.63,NP,NP,486.00,9.69,5.67,9.68,5.67,0.00,3.24,5.69
H-02,650.00,2500.00,500.00,2225.00,1000,"269,336",1.20,4.63,0.93,4.12,1.85,498.77,NP,NP,540.00,9.41,4.20,9.58,4.20,1.30,3.24,5.28
H-03,450.00,1895.00,379.00,1686.55,865,"223,948",1.04,4.39,0.88,3.90,2.00,518.40,NP,NP,432.00,9.67,4.94,9.63,4.94,0.51,2.96,5.39
H-04,1200.00,3256.00,651.20,2897.84,526,"121,415",1.85,5.02,1.00,4.47,0.81,187.37,NP,NP,648.00,8.36,2.99,9.49,2.99,6.75,7.71,6.65
H-05,900.00,3569.00,713.80,3176.41,986,"56,062",1.52,6.01,1.20,5.35,1.66,94.38,NP,NP,594.00,8.90,0.00,9.27,0.00,2.31,9.04,5.91
H-06,300.00,1000.00,200.00,890.00,589.68,"159,514",1.07,3.56,0.71,3.17,2.10,568.07,NP,NP,280.80,9.63,7.45,9.81,7.45,0.00,2.24,5.91
H-09,525.00,2165.00,4033.00,1795.00,665,"305,118",1.25,5.14,9.58,4.26,1.58,724.40,NP,NP,421.20,9.34,2.64,0.00,3.71,2.73,0.00,1.98
H-10,2000.00,8000.00,1600.00,7120.00,456,"803,492",0.84,3.37,0.67,3.00,0.19,338.17,NP,NP,"2,376.00",9.99,8.04,9.86,8.04,10.00,5.54,7.90
H-11,653.00,2016.00,403.20,1794.24,869,"199,109",1.51,4.67,0.93,4.15,2.01,460.90,NP,NP,432.00,8.91,4.08,9.57,4.08,0.46,3.78,5.32
H-12,1235.00,5000.00,1000.00,4450.00,956,"702,342",1.14,4.61,0.92,4.11,0.88,647.92,NP,NP,"1,084.00",9.51,4.25,9.58,4.25,6.38,1.10,4.93
H-13,1246.50,4986.00,997.20,4437.54,425,"368,662",1.25,4.99,1.00,4.44,0.43,368.66,NP,NP,"1,000.00",9.34,3.11,9.50,3.11,8.78,5.10,6.05
H-14,1005.75,4023.00,804.60,3580.47,458,"310,240",0.84,3.35,0.67,2.98,0.38,258.53,NP,NP,"1,200.00",10.00,8.08,9.86,8.08,9.01,6.69,8.23
H-15,989.00,4000.00,800.00,3560.00,989,"723,159",0.92,3.70,0.74,3.30,0.92,669.59,NP,NP,"1,080.00",9.87,7.02,9.78,7.02,6.21,0.79,5.72
H-16,1025.00,3896.00,779.20,3467.44,456,"618,967",0.95,3.61,0.72,3.21,0.42,573.12,NP,NP,"1,080.00",9.82,7.31,9.80,7.31,8.79,2.17,6.45
